project,file,line,method,path,mechanism,current_reference,target_command,command_creation_required,simplification_notes
clever-components,../clever-components/src/components/cc-addon-admin/cc-addon-admin.smart.js,153,GET,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-admin/cc-addon-admin.smart.js,163,GET,/v2/organisations/:XXX/addons/:XXX/tags,legacy client (@clevercloud/client esm/api/*),,ListTagCommand,no (command already exists),À fusionner avec tags d'app (pas utilisé encore)
clever-components,../clever-components/src/components/cc-addon-admin/cc-addon-admin.smart.js,185,PUT,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,UpdateAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-admin/cc-addon-admin.smart.js,197,PUT,/v2/organisations/:XXX/addons/:XXX/tags,legacy client (@clevercloud/client esm/api/*),,CreateTagCommand/UpdateTagCommand,no (command already exists),À fusionner avec tags d'app (pas utilisé encore)
clever-components,../clever-components/src/components/cc-addon-admin/cc-addon-admin.smart.js,208,DELETE,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,DeleteAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-backups/cc-addon-backups.smart.js,65,GET,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-backups/cc-addon-backups.smart.js,74,GET,/v4/addon-providers/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetMatomoInfo,no (command already exists),On split sur les différents provider utilisés : Jenkins;Matomo;Pulsar... (pour récupérer des infos sur l'addon;URL;tokens...)
clever-components,../clever-components/src/components/cc-addon-backups/cc-addon-backups.smart.js,102,GET,/v2/backups/:XXX/:XXX,legacy client (@clevercloud/client esm/api/*),,ListBackupCommand,no (command already exists),Database au lieu de Addon car c'est un truc qui ne fonctionne que pour certains Addon (juste une idée)
clever-components,../clever-components/src/components/cc-addon-backups/cc-addon-backups.smart.js,124,GET,/v2/backups/:XXX/:XXX,legacy client (@clevercloud/client esm/api/*),,ListBackupCommand,no (command already exists),Database au lieu de Addon car c'est un truc qui ne fonctionne que pour certains Addon (juste une idée)
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.client.js,31,GET,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.client.js,41,GET,/v4/addon-providers/addon-:XXX/addons/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getOperator,"per-provider commands exist, dispatch at runtime: keycloak->GetKeycloakInfoCommand, matomo->GetMatomoInfoCommand, metabase->GetMetabaseInfoCommand, otoroshi->GetOtoroshiInfoCommand, pulsar->GetPulsarInfoCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.client.js,57,POST,/v4/addon-providers/addon-:XXX/addons/:XXX/networkgroup,internal implementation (project-local reimplementation of esm/api function shape),createNg,"per-provider commands exist, dispatch at runtime: keycloak->DeleteKeycloakNetworkGroupCommand, otoroshi->DeleteOtoroshiNetworkGroupCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.client.js,63,DELETE,/v4/addon-providers/addon-:XXX/addons/:XXX/networkgroup,internal implementation (project-local reimplementation of esm/api function shape),deleteNg,"per-provider commands exist, dispatch at runtime: keycloak->DeleteKeycloakNetworkGroupCommand, otoroshi->DeleteOtoroshiNetworkGroupCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-cellar.js,135,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/credentials,internal implementation (project-local reimplementation of esm/api function shape),getCellarCredentials,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-cellar.js,145,GET,/v4/cellar/organisations/:XXX/cellar/:XXX/credentials/presigned-url,internal implementation (project-local reimplementation of esm/api function shape),getCellarPresignedUrl,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-cellar.js,181,POST,/v4/cellar/organisations/:XXX/cellar/:XXX/credentials/renew,internal implementation (project-local reimplementation of esm/api function shape),renewSecret,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-elastic.js,82,GET,/v2/providers/es-addon/:XXX,"new client (Command pattern, already migrated)",GetElasticsearchInfoCommand,GetElasticsearchInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-keycloak.js,86,GET,/v4/addon-providers/addon-keycloak/addons/:XXX,"new client (Command pattern, already migrated)",GetKeycloakInfoCommand,GetKeycloakInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-keycloak.js,134,POST,/v4/addon-providers/addon-keycloak/addons/:XXX/networkgroup,"new client (Command pattern, already migrated)",CreateKeycloakNetworkGroupCommand,CreateKeycloakNetworkGroupCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-keycloak.js,171,DELETE,/v4/addon-providers/addon-keycloak/addons/:XXX/networkgroup,"new client (Command pattern, already migrated)",DeleteKeycloakNetworkGroupCommand,DeleteKeycloakNetworkGroupCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-materia-kv.js,53,GET,/v4/materia/organisations/:XXX/materia/databases/:XXX,"new client (Command pattern, already migrated)",GetMateriaInfoCommand,GetMateriaInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-otoroshi.js,122,GET,/v4/addon-providers/addon-otoroshi/addons/:XXX,"new client (Command pattern, already migrated)",GetOtoroshiInfoCommand,GetOtoroshiInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-otoroshi.js,172,POST,/v4/addon-providers/addon-otoroshi/addons/:XXX/networkgroup,"new client (Command pattern, already migrated)",CreateOtoroshiNetworkGroupCommand,CreateOtoroshiNetworkGroupCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-otoroshi.js,209,DELETE,/v4/addon-providers/addon-otoroshi/addons/:XXX/networkgroup,"new client (Command pattern, already migrated)",DeleteOtoroshiNetworkGroupCommand,DeleteOtoroshiNetworkGroupCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-credentials/cc-addon-credentials.smart-pulsar.js,69,GET,/v4/addon-providers/addon-pulsar/addons/:XXX,"new client (Command pattern, already migrated)",GetPulsarInfoCommand,GetPulsarInfoCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.client.js,33,GET,/v2/organisations/:XXX/addons/:XXX,legacy client (@clevercloud/client esm/api/*),,GetAddonCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.client.js,43,GET,/v4/addon-providers/addon-:XXX/addons/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getOperator,"per-provider commands exist, dispatch at runtime: keycloak->GetKeycloakInfoCommand, matomo->GetMatomoInfoCommand, metabase->GetMetabaseInfoCommand, otoroshi->GetOtoroshiInfoCommand, pulsar->GetPulsarInfoCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.client.js,53,GET,/v4/products/zones/:XXX,legacy client (@clevercloud/client esm/api/*),,GetZoneCommand,no (command already exists),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.client.js,77,POST,/v4/addon-providers/addon-:XXX/addons/:XXX/reboot,internal implementation (project-local reimplementation of esm/api function shape),rebootOperator,"per-provider commands exist, dispatch at runtime: keycloak->RebootKeycloakCommand, matomo->RebootMatomoCommand, metabase->RebootMetabaseCommand, otoroshi->RebootOtoroshiCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.client.js,84,POST,/v4/addon-providers/addon-:XXX/addons/:XXX/rebuild,internal implementation (project-local reimplementation of esm/api function shape),rebuildOperator,"per-provider commands exist, dispatch at runtime: keycloak->RebuildKeycloakCommand, matomo->RebuildMatomoCommand, metabase->RebuildMetabaseCommand, otoroshi->RebuildOtoroshiCommand",no for known providers (dispatch by provider); yes for any other provider,no generic command - the new client has one dedicated command per addon provider; caller must switch on the provider string to pick the right one
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-cellar.js,91,GET,/v4/cellar/organisations/:XXX/cellar/:XXX,internal implementation (project-local reimplementation of esm/api function shape),getCellarInfo,UNKNOWN (not found in command source tree or openapi/commands inventory - verify manually),yes (no command implementation found for this endpoint),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-config-provider.js,31,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-config-provider.js,35,GET,/v4/products/zones/:XXX,"new client (Command pattern, already migrated)",GetZoneCommand,GetZoneCommand,no (already using new client),
clever-components,../clever-components/src/components/cc-addon-header/cc-addon-header.smart-elastic.js,46,GET,/v2/organisations/:XXX/addons/:XXX,"new client (Command pattern, already migrated)",GetAddonCommand,GetAddonCommand,no (already using new client),
