Source id,Endpoint id,Used,Namespace,Target,Action,Command name (without Command suffix),Comment
local-cc-api-v4,[GET] /v4/addon-providers/:XXX,true,Product,AddonVersions,Get,GetProductAddonVersions,En fait on s'en sert (à priori) que pour connaitre les version d'un add-on et les clusters pour les plans de DEV
local-cc-api-v4,[GET] /v4/addon-providers/:XXX/addons/:XXX,true,Matomo,Info,Get,GetMatomoInfo,On split sur les différents provider utilisés : Jenkins;Matomo;Pulsar... (pour récupérer des infos sur l'addon;URL;tokens...)
local-cc-api-v4,[GET] /v4/addon-providers/jenkins/addons/:XXX/updates,true,Jenkins,Info,Get,GetJenkinsInfo,À fusionner avec [GET] /v4/addon-providers/:XXX/addons/:XXX
local-cc-api-v4,[GET] /v4/addon-providers/:XXX/clusters/:XXX,true,Pulsar,Info,Get,GetPulsarInfo,À fusionner avec [GET] /v4/addon-providers/:XXX/addons/:XXX
local-cc-api-v4,[GET] /v4/billing/organisations/:XXX/invoices,true,Invoice,,List,ListInvoice,À regrouper
local-cc-api-v4,[GET] /v4/billing/organisations/:XXX/invoices/unpaid,true,Invoice,,List,ListInvoice,À regrouper
local-cc-api-v4,[GET] /v4/billing/organisations/:XXX/invoices/:XXX:XXX,false,Invoice,,Get,GetInvoice,equivalent to [GET] /v4/billing/organisations/:XXX/invoices/:XXX
local-cc-api-v4,[GET] /v4/billing/organisations/:XXX/payments/methods,true,PaymentMethod,,List,ListPaymentMethod,
local-cc-api-v4,[POST] /v4/billing/organisations/:XXX/payments/methods,true,PaymentMethod,,Create,CreatePaymentMethod,
local-cc-api-v4,[PUT] /v4/billing/organisations/:XXX/payments/methods/default,true,PaymentMethod,Primary,Set,SetPrimaryPaymentMethod,
local-cc-api-v4,[DELETE] /v4/billing/organisations/:XXX/payments/methods/:XXX,true,PaymentMethod,,Delete,DeletePaymentMethod,
local-cc-api-v4,[POST] /v4/billing/organisations/:XXX/invoices/:XXX/payments/paypal,true,Paypal,,Init,InitPaypal,??
