method,path,command,domain,scope
POST,/v2/providers/addon-ai/resources,,ai,internal
DELETE,/v2/providers/addon-ai/resources/{aiId},,ai,internal
GET,/v4/addon-providers/addon-ai/addons/{aiId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints,,ai,admin-only
POST,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints,,ai,admin-only
DELETE,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId},,ai,admin-only
POST,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/apikeys,,ai,admin-only
POST,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/apikeys,,ai,admin-only
DELETE,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/apikeys/{apikeyId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/apikeys/{apikeyId},,ai,admin-only
POST,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/apikeys/{apikeyId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/budgets,,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/endpoints/{endpointId}/budgets/{budgetId},,ai,admin-only
GET,/v4/ai/organisations/{ownerId}/ai/{aiId}/providers,,ai,admin-only
POST,/v4/iam/organisations/{ownerId}/iam/materia-db-kv/{kvId}/tokens,,base,admin-only
GET,/v4/iam/organisations/{ownerId}/iam/tokens,,base,admin-only
DELETE,/v4/iam/organisations/{ownerId}/iam/tokens/{p1},,base,admin-only
GET,/v4/iam/organisations/{ownerId}/iam/tokens/{p1},,base,admin-only
GET,/v4/iam/tokens/revocations,,base,admin-only
POST,/v2/providers/addon-cellar/resources,,cellar,internal
DELETE,/v2/providers/addon-cellar/resources/{CellarId},,cellar,internal
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId},GetCellarInfoCommand,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets,ListCellarBucketCommand,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets,CreateCellarBucketCommand,cellar,admin-only
DELETE,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName},DeleteCellarBucketCommand,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName},GetCellarBucketCommand,cellar,admin-only
PATCH,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName},,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects,ListCellarObjectCommand,cellar,admin-only
DELETE,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/{objectKey},DeleteCellarObjectCommand,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/{objectKey},GetCellarObjectCommand,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/{objectKey}/presigned-url,GetCellarObjectUploadUrlCommand,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/download-url,GetCellarObjectDownloadUrlCommand,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/upload-url,,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/buckets/{bucketName}/objects/upload/{objectKey},,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/credentials,GetCellarCredentialsCommand,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/credentials.cfg,,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/credentials/presigned-url,GetCellarCredentialsPresignedUrlCommand,cellar,admin-only
POST,/v4/cellar/organisations/{ownerId}/cellar/{CellarId}/credentials/renew,RenewCellarCredentialsCommand,cellar,admin-only
GET,/v4/cellar/organisations/{ownerId}/cellar/consumptions,,cellar,internal
GET,/v4/cellar/organisations/{ownerId}/clusters,,cellar,internal
POST,/v4/cellar/organisations/{ownerId}/clusters,,cellar,internal
DELETE,/v4/cellar/organisations/{ownerId}/clusters/{ClusterIndex},,cellar,internal
GET,/v4/cellar/organisations/{ownerId}/clusters/{ClusterIndex},,cellar,internal
PUT,/v4/cellar/organisations/{ownerId}/clusters/{ClusterIndex},,cellar,internal
GET,/v4/providers/addon-cellar/{CellarId},,cellar,admin-only
GET,/v4/compute/events/stream,,compute,internal
GET,/v4/compute/hypervisors,,compute,internal
GET,/v4/compute/hypervisors/{hypervisor-name},,compute,internal
POST,/v4/compute/hypervisors/{hypervisor-name}/check,,compute,internal
