interface,field,recommendation,type,optional,comment,export_modifier,extends,readonly,filepath,line_number
Addon,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,4
Addon,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,5
Addon,realId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,6
Addon,zone,✅ KEEP (already renamed from API format),string,false,renamed from region,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,8
Addon,zoneId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,9
Addon,provider,✅ KEEP,AddonProviderFull,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,10
Addon,plan,✅ KEEP,AddonProviderPlan,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,11
Addon,creationDate,🔄 RENAME: createdAt (standardize to 'At' suffix),string,false,transformed from number to date iso string,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,13
Addon,configKeys,✅ KEEP,Array<string>,false,,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts,14
CreateAddonCommandInput,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,4
CreateAddonCommandInput,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,5
CreateAddonCommandInput,zone,✅ KEEP (already renamed from API format),string,false,renamed from region,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,7
CreateAddonCommandInput,providerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,8
CreateAddonCommandInput,planId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,9
GetAddonSsoCommandOutput,url,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,6
GetAddonSsoCommandOutput,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,7
GetAddonSsoCommandOutput,timestamp,🔄 RENAME: createdAt or updatedAt (generic timestamp needs context),number,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,8
GetAddonSsoCommandOutput,token,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,9
GetAddonSsoCommandOutput,signature,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,10
GetAddonSsoCommandOutput,email,🔄 RENAME: emailAddress (be explicit),string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,11
GetAddonSsoCommandOutput,userId,✅ KEEP,string,false,renamed from user_id,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,13
GetAddonSsoCommandOutput,userInfoSignature,✅ KEEP (already renamed from API format),string,false,renamed from userinfo_signature,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,15
GetAddonSsoCommandOutput,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,16
GetAddonSsoCommandOutput,navData,✅ KEEP (already renamed from API format),string,false,renamed from nav-data,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,18
ListAddonCommandInput,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon/list-addon-command.types.d.ts,4
UpdateAddonCommandInput,name,📝 CLARIFY: too generic,string,false,,export,AddonId,false,src/clients/cc-api/commands/addon/update-addon-command.types.d.ts,5
AddonProviderFull,plans,✅ KEEP,Array<AddonProviderPlan>,false,,export,AddonProvider,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,2
AddonProviderFull,features,✅ KEEP,Array<AddonProviderFeature>,false,,export,AddonProvider,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,3
AddonProvider,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,7
AddonProvider,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,8
AddonProvider,website,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,9
AddonProvider,supportEmail,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,10
AddonProvider,googlePlusName,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,11
AddonProvider,twitterName,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,12
AddonProvider,analyticsId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,13
AddonProvider,shortDesc,🔄 RENAME: shortDescription (avoid abbreviating description),string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,14
AddonProvider,longDesc,🔄 RENAME: networkGroup* (ng is unclear),string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,15
AddonProvider,logoUrl,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,16
AddonProvider,status,"📝 REVIEW: use status"" for operational/lifecycle",AddonProviderStatus,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,17
AddonProvider,openInNewTab,🔄 RENAME: isOpenInNewTab (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,18
AddonProvider,canUpgrade,✅ KEEP,boolean,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,19
AddonProvider,zones,✅ KEEP,Array<string>,false,renamed from regions,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,21
AddonProviderPlan,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,25
AddonProviderPlan,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,26
AddonProviderPlan,slug,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,27
AddonProviderPlan,price,✅ KEEP,number,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,28
AddonProviderPlan,priceId,✅ KEEP,string,true,renamed from price_id,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,30
AddonProviderPlan,features,✅ KEEP,Array<AddonProviderPlanFeature>,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,31
AddonProviderPlan,zones,✅ KEEP,Array<string>,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,32
AddonProviderPlanFeature,value,📝 CLARIFY: too generic,string,false,,export,AddonProviderFeature,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,36
AddonProviderPlanFeature,computableValue,✅ KEEP (already renamed from API format),string,false,renamed from computable_value and fallback to value when null,export,AddonProviderFeature,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,38
AddonProviderFeature,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,42
AddonProviderFeature,type,📝 CLARIFY: too generic,AddonProviderFeatureType,false,,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,43
AddonProviderFeature,nameCode,✅ KEEP (already renamed from API format),string,false,renamed from name_code and fallback to name when null,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,45
CreateAddonProviderCommandInput,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts,4
CreateAddonProviderCommandInput,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts,5
CreateAddonProviderCommandInput,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-command.types.d.ts,6
CreateAddonProviderFeatureCommandInput,name,📝 CLARIFY: too generic,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-feature-command.types.d.ts,5
CreateAddonProviderFeatureCommandInput,type,📝 CLARIFY: too generic,AddonProviderFeatureType,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-feature-command.types.d.ts,6
CreateAddonProviderPlanCommandInput,name,📝 CLARIFY: too generic,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,5
CreateAddonProviderPlanCommandInput,slug,✅ KEEP,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,6
CreateAddonProviderPlanCommandInput,price,✅ KEEP,number,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/create-addon-provider-plan-command.types.d.ts,7
DeleteAddonProviderFeatureCommandInput,name,📝 CLARIFY: too generic,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/delete-addon-provider-feature-command.types.d.ts,4
DeleteAddonProviderPlanCommandInput,planId,✅ KEEP,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/delete-addon-provider-plan-command.types.d.ts,4
UpdateAddonProviderCommandInput,name,📝 CLARIFY: too generic,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,5
UpdateAddonProviderCommandInput,website,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,6
UpdateAddonProviderCommandInput,supportEmail,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,7
UpdateAddonProviderCommandInput,googlePlusName,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,8
UpdateAddonProviderCommandInput,twitterName,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,9
UpdateAddonProviderCommandInput,analyticsId,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,10
UpdateAddonProviderCommandInput,shortDesc,🔄 RENAME: shortDescription (avoid abbreviating description),string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,11
UpdateAddonProviderCommandInput,longDesc,🔄 RENAME: networkGroup* (ng is unclear),string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,12
UpdateAddonProviderCommandInput,logoUrl,✅ KEEP,string,true,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-command.types.d.ts,13
UpdateAddonProviderPlanCommandInput,planId,✅ KEEP,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts,5
UpdateAddonProviderPlanCommandInput,name,📝 CLARIFY: too generic,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts,6
UpdateAddonProviderPlanCommandInput,slug,✅ KEEP,string,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts,7
UpdateAddonProviderPlanCommandInput,price,✅ KEEP,number,false,,export,AddonProviderId,false,src/clients/cc-api/commands/addon-provider/update-addon-provider-plan-command.types.d.ts,8
Application,id,✅ KEEP (primary identifier),string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,6
Application,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,7
Application,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,8
Application,description,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,9
Application,zone,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,10
Application,zoneId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,11
Application,domains,✅ KEEP,Array<Domain>,false,renamed from vhosts,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,34
Application,creationDate,🔄 RENAME: createdAt (standardize to 'At' suffix),string,false,converted from number to date iso string,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,36
Application,lastDeploy,✅ KEEP (already renamed from API format),number,false,renamed from last_deploy,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,38
Application,archived,🔄 RENAME: isArchived (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,39
Application,stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,40
Application,homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,41
Application,favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,42
Application,cancelOnPush,✅ KEEP,boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,43
Application,oauthApp,✅ KEEP,ApplicationOauthApp,true,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,44
Application,separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),boolean,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,45
Application,buildFlavor,✅ KEEP,ProductRuntimeFlavor,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,46
Application,state,"📝 REVIEW: use state"" for data/resource state",ApplicationState,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,47
Application,commitId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,48
Application,appliance,✅ KEEP,null,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,49
Application,branch,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,50
Application,branches,✅ KEEP,Array<string>,true,,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,51
Application,forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),boolean,false,converted from ENABLED/DISABLED to boolean,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,53
Application,environment,🔄 RENAME: environments (array should be plural),Array<EnvironmentVariable>,false,renamed from env,export,,false,src/clients/cc-api/commands/application/application.types.d.ts,55
CreateApplicationCommandInput,favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,14
CreateApplicationCommandInput,forceHttps,🔄 RENAME: isForceHttps (boolean should have is/has/can prefix),boolean,true,converted from ENABLED|DISABLED to boolean,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,16
CreateApplicationCommandInput,homogeneous,🔄 RENAME: isHomogeneous (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,17
CreateApplicationCommandInput,instance,✅ KEEP,ApplicationInstance | ApplicationInstanceSlug,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,18
CreateApplicationCommandInput,instanceLifetime,✅ KEEP,ApplicationLifetime,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,19
CreateApplicationCommandInput,maxFlavor,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,20
CreateApplicationCommandInput,maxInstances,✅ KEEP,number,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,21
CreateApplicationCommandInput,minFlavor,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,22
CreateApplicationCommandInput,minInstances,✅ KEEP,number,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,23
CreateApplicationCommandInput,name,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,24
CreateApplicationCommandInput,oauthApp,✅ KEEP,ApplicationOauthApp,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,25
CreateApplicationCommandInput,ownerId,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,26
CreateApplicationCommandInput,publicGitRepositoryUrl,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,27
CreateApplicationCommandInput,separateBuild,🔄 RENAME: isSeparateBuild (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,28
CreateApplicationCommandInput,shutdownable,🔄 RENAME: canShutdown (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,29
CreateApplicationCommandInput,stickySessions,🔄 RENAME: isStickySessions (boolean should have is/has/can prefix),boolean,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,30
CreateApplicationCommandInput,tags,✅ KEEP,Array<string>,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,31
CreateApplicationCommandInput,zone,✅ KEEP,string,true,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,32
ApplicationInstanceSlug,slug,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,38
ApplicationInstance,type,📝 CLARIFY: too generic,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,42
ApplicationInstance,version,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,43
ApplicationInstance,variant,✅ KEEP,string,false,,export,,false,src/clients/cc-api/commands/application/create-application-command.types.d.ts,44
UpdateApplicationCommandInput,favourite,🔄 RENAME: isFavorite (boolean should have is/has/can prefix),boolean,true,,export,ApplicationId,false,src/clients/cc-api/commands/application/update-application-command.types.d.ts,14
