field,recommendation,filepath,type,optional,comment,line_number,export_modifier,extends,readonly,interface
id,✅ KEEP (primary identifier),src/clients/cc-api/commands/addon/addon.types.d.ts,string,false,,4,export,,false,Addon
name,"📝 CLARIFY: too generic,string,false,,5,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,realId,✅ KEEP,string,false,,6,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,zone,✅ KEEP (already renamed from API format),string,false,renamed from region,8,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,zoneId,✅ KEEP,string,false,,9,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,provider,✅ KEEP,AddonProviderFull,false,,10,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,plan,✅ KEEP,AddonProviderPlan,false,,11,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,creationDate,🔄 RENAME: createdAt (standardize to 'At' suffix),string,false,transformed from number to date iso string,13,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
Addon,configKeys,✅ KEEP,Array<string>,false,,14,export,,false,src/clients/cc-api/commands/addon/addon.types.d.ts
CreateAddonCommandInput,ownerId,✅ KEEP,string,false,,4,export,,false,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts
CreateAddonCommandInput,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,string,false,,5,export,,false,Addon
zone,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,string,false,renamed from region,7,export,,false,CreateAddonCommandInput
providerId,✅ KEEP,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,string,false,,8,export,,false,CreateAddonCommandInput
planId,✅ KEEP,src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,string,false,,9,export,,false,CreateAddonCommandInput
url,"📝 CLARIFY: too generic,string,false,,6,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,id,✅ KEEP (primary identifier),string,false,,7,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,timestamp,🔄 RENAME: createdAt or updatedAt (generic timestamp needs context),number,false,,8,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,token,✅ KEEP,string,false,,9,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,signature,✅ KEEP,string,false,,10,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,email,🔄 RENAME: emailAddress (be explicit),string,false,,11,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,userId,✅ KEEP,string,false,renamed from user_id,13,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,userInfoSignature,✅ KEEP (already renamed from API format),string,false,renamed from userinfo_signature,15,export,,false,src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts
GetAddonSsoCommandOutput,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,string,false,,16,export,,false,GetAddonSsoCommandOutput
navData,✅ KEEP (already renamed from API format),src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,string,false,renamed from nav-data,18,export,,false,GetAddonSsoCommandOutput
ownerId,✅ KEEP,src/clients/cc-api/commands/addon/list-addon-command.types.d.ts,string,false,,4,export,,false,ListAddonCommandInput
name,"📝 CLARIFY: too generic,string,false,,5,export,AddonId,false,src/clients/cc-api/commands/addon/update-addon-command.types.d.ts
AddonProviderFull,plans,✅ KEEP,Array<AddonProviderPlan>,false,,2,export,AddonProvider,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProviderFull,features,✅ KEEP,Array<AddonProviderFeature>,false,,3,export,AddonProvider,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProvider,id,✅ KEEP (primary identifier),string,false,,7,export,,false,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts
AddonProvider,name,📝 CLARIFY: too generic",src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,8,export,,false,UpdateAddonCommandInput
website,✅ KEEP,src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,string,false,,9,export,,false,AddonProvider
