filepath,interface,field,type,optional,comment,line_number,export_modifier,extends,readonly
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,id,string,false,,4,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,name,string,false,,5,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,realId,string,false,,6,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,zone,string,false,renamed from region,8,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,zoneId,string,false,,9,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,provider,AddonProviderFull,false,,10,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,plan,AddonProviderPlan,false,,11,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,creationDate,string,false,transformed from number to date iso string,13,export,,false
src/clients/cc-api/commands/addon/addon.types.d.ts,Addon,configKeys,Array<string>,false,,14,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,ownerId,string,false,,4,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,name,string,false,,5,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,zone,string,false,renamed from region,7,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,providerId,string,false,,8,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,planId,string,false,,9,export,,false
src/clients/cc-api/commands/addon/create-addon-command.types.d.ts,CreateAddonCommandInput,options,"Record<string, string>",true,,10,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,url,string,false,,6,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,id,string,false,,7,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,timestamp,number,false,,8,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,token,string,false,,9,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,signature,string,false,,10,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,email,string,false,,11,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,userId,string,false,renamed from user_id,13,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,userInfoSignature,string,false,renamed from userinfo_signature,15,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,name,string,false,,16,export,,false
src/clients/cc-api/commands/addon/get-addon-sso-command.types.d.ts,GetAddonSsoCommandOutput,navData,string,false,renamed from nav-data,18,export,,false
src/clients/cc-api/commands/addon/list-addon-command.types.d.ts,ListAddonCommandInput,ownerId,string,false,,4,export,,false
src/clients/cc-api/commands/addon/update-addon-command.types.d.ts,UpdateAddonCommandInput,name,string,false,,5,export,AddonId,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderFull,plans,Array<AddonProviderPlan>,false,,2,export,AddonProvider,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderFull,features,Array<AddonProviderFeature>,false,,3,export,AddonProvider,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,id,string,false,,7,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,name,string,false,,8,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,website,string,false,,9,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,supportEmail,string,false,,10,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,googlePlusName,string,false,,11,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,twitterName,string,false,,12,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,analyticsId,string,false,,13,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,shortDesc,string,false,,14,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,longDesc,string,false,,15,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,logoUrl,string,false,,16,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,status,AddonProviderStatus,false,,17,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,openInNewTab,boolean,false,,18,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,canUpgrade,boolean,false,,19,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProvider,zones,Array<string>,false,renamed from regions,21,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,id,string,false,,25,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,name,string,false,,26,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,slug,string,false,,27,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,price,number,false,,28,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,priceId,string,true,renamed from price_id,30,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,features,Array<AddonProviderPlanFeature>,false,,31,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlan,zones,Array<string>,false,,32,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlanFeature,value,string,false,,36,export,AddonProviderFeature,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderPlanFeature,computableValue,string,false,renamed from computable_value and fallback to value when null,38,export,AddonProviderFeature,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderFeature,name,string,false,,42,export,,false
src/clients/cc-api/commands/addon-provider/addon-provider.types.d.ts,AddonProviderFeature,type,AddonProviderFeatureType,false,,43,export,,false
